GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mfaminc,TimeFrame,GeoVintage,Source,Location
Zip Code Tabulation Area,99774,AK,99774,99774,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99775,AK,99775,99775,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99776,AK,99776,99776,63125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99777,AK,99777,99777,56875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99778,AK,99778,99778,31250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99780,AK,99780,99780,67500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99781,AK,99781,99781,51875,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99782,AK,99782,99782,79000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99783,AK,99783,99783,43125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99784,AK,99784,99784,53125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99785,AK,99785,99785,35000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99786,AK,99786,99786,53750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99788,AK,99788,99788,17500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99789,AK,99789,99789,74250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99790,AK,99790,99790,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99791,AK,99791,99791,53125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99801,AK,99801,99801,109500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99820,AK,99820,99820,43750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99824,AK,99824,99824,99844,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99825,AK,99825,99825,64125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99826,AK,99826,99826,87813,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99827,AK,99827,99827,80948,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99829,AK,99829,99829,64750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99830,AK,99830,99830,51250,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99832,AK,99832,99832,71750,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99833,AK,99833,99833,83125,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99835,AK,99835,99835,91935,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99836,AK,99836,99836,68438,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99840,AK,99840,99840,83214,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99841,AK,99841,99841,61667,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99901,AK,99901,99901,90684,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99903,AK,99903,99903,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99918,AK,99918,99918,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99919,AK,99919,99919,66667,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99921,AK,99921,99921,57500,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99922,AK,99922,99922,35625,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99923,AK,99923,99923,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99925,AK,99925,99925,77000,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99926,AK,99926,99926,70455,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99927,AK,99927,99927,N/A,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,99929,AK,99929,99929,69600,2015-2019,2010,Census,United States (Nation)
Zip Code Tabulation Area,35004,AL,35004,35004,72000,2015-2019,2010,Census,United States (Nation)
